1,1,2007-05-27,2007-05-28 08:36:47.846,13.43593,52.41721,13.43593,52.41721
1,2,2007-05-28 08:36:47.846,2007-05-28 08:36:49.846,13.43593,52.41721,13.43605,52.41723
1,2,2007-05-28 08:36:49.846,2007-05-28 08:36:51.846,13.43605,52.41723,13.43628,52.41727
1,2,2007-05-28 08:36:51.846,2007-05-28 08:36:53.846,13.43628,52.41727,13.43652,52.4173
1,2,2007-05-28 08:36:53.846,2007-05-28 08:36:55.846,13.43652,52.4173,13.43676,52.41734
1,2,2007-05-28 08:36:55.846,2007-05-28 08:36:57.846,13.43676,52.41734,13.437,52.41737
1,2,2007-05-28 08:36:57.846,2007-05-28 08:36:59.846,13.437,52.41737,13.43719,52.41741
1,2,2007-05-28 08:36:59.846,2007-05-28 08:37:01.846,13.43719,52.41741,13.43739,52.41744
1,2,2007-05-28 08:37:01.846,2007-05-28 08:37:03.846,13.43739,52.41744,13.43762,52.41747
1,2,2007-05-28 08:37:03.846,2007-05-28 08:37:05.846,13.43762,52.41747,13.43786,52.41751
1,2,2007-05-28 08:37:05.846,2007-05-28 08:37:07.796,13.43786,52.41751,13.43809,52.41755
1,2,2007-05-28 08:37:07.796,2007-05-28 08:37:09.796,13.43809,52.41755,13.43809,52.41762
1,2,2007-05-28 08:37:09.796,2007-05-28 08:37:11.796,13.43809,52.41762,13.43807,52.41784
1,2,2007-05-28 08:37:11.796,2007-05-28 08:37:13.796,13.43807,52.41784,13.438,52.41809
1,2,2007-05-28 08:37:13.796,2007-05-28 08:37:15.796,13.438,52.41809,13.438,52.41833
1,2,2007-05-28 08:37:15.796,2007-05-28 08:37:17.796,13.438,52.41833,13.438,52.41855
1,2,2007-05-28 08:37:17.796,2007-05-28 08:37:19.796,13.438,52.41855,13.438,52.4188
1,2,2007-05-28 08:37:19.796,2007-05-28 08:37:21.796,13.438,52.4188,13.438,52.41905
1,2,2007-05-28 08:37:21.796,2007-05-28 08:37:23.796,13.438,52.41905,13.43794,52.4193
1,2,2007-05-28 08:37:23.796,2007-05-28 08:37:25.796,13.43794,52.4193,13.43792,52.41955
